start,finish,energy,point_id,vehicle_id,payment_id,pricing_id
'2018-04-25 11:08:04','2018-04-25 13:21:10',7.932,20004,47,2,2
'2018-04-25 13:45:10','2018-04-25 16:44:15',10.013,16134,40,2,1
'2018-04-25 13:45:50','2018-04-25 14:51:44',5.257,314,67,1,2
'2018-04-25 14:37:06','2018-04-25 16:05:22',5.177,20053,22,2,1
'2018-04-25 14:40:34','2018-04-25 17:40:30',10.119,3324,26,2,2
'2018-04-25 14:43:50','2018-04-25 16:18:28',7.91,318,85,1,3
'2018-04-25 14:47:42','2018-04-25 18:27:42',15.294,330,52,1,3
'2018-04-25 14:58:25','2018-04-25 16:48:29',6.953,190,53,1,2
'2018-04-25 15:10:52','2018-04-25 16:07:56',2.174,259,50,1,1
'2018-04-25 15:12:11','2018-04-25 18:30:20',2.439,3415,14,2,2
'2018-04-25 15:14:06','2018-04-25 18:33:20',6.955,26375,73,1,2
'2018-04-25 15:14:41','2018-04-25 16:18:11',3.249,21073,15,1,3
'2018-04-25 15:14:49','2018-04-25 16:42:00',2.72,20053,81,2,3
'2018-04-25 15:20:56','2018-04-25 16:07:41',2.575,52475,27,2,1
'2018-04-25 15:30:31','2018-04-25 18:54:57',5.4,22503,67,2,3
'2018-04-25 15:31:42','2018-04-25 18:26:57',4.929,146500,43,2,1
'2018-04-25 15:33:45','2018-04-25 17:49:46',4.043,6951,34,1,1
'2018-04-25 15:44:42','2018-04-25 17:40:09',2.49,73441,36,1,3
'2018-04-25 15:48:23','2018-04-25 18:06:06',5.95,21046,88,2,1
'2018-04-25 15:51:21','2018-04-25 17:56:52',4.474,317,44,2,3
'2018-04-25 15:53:29','2018-04-25 19:55:15',6.531,6663,64,2,3
'2018-04-25 15:57:29','2018-04-25 18:23:12',6.023,277,83,1,2
'2018-04-25 15:59:24','2018-04-25 18:27:10',9.553,20577,63,2,3
'2018-04-25 16:01:26','2018-04-26 00:14:16',14.693,6768,28,1,2
'2018-04-25 16:02:03','2018-04-25 17:14:25',2.207,21114,90,1,2
'2018-04-25 16:02:10','2018-04-25 19:27:51',9.153,3415,1,2,1
'2018-04-25 16:03:59','2018-04-25 22:19:58',17.446,6776,22,1,2
'2018-04-25 16:04:31','2018-04-25 18:13:16',4.548,184,44,1,1
'2018-04-25 16:25:51','2018-04-25 22:30:41',32.708,12555,91,1,3
'2018-04-25 16:38:01','2018-04-25 18:48:11',6.764,75111,9,2,3
'2018-04-25 16:52:05','2018-04-25 21:40:57',10.879,6669,69,1,1
'2018-04-25 17:06:18','2018-04-25 19:21:33',5.07,287,91,1,3
'2018-04-25 18:22:03','2018-04-26 01:41:10',6.337,20514,75,1,2
'2018-04-25 18:47:12','2018-04-25 19:36:31',2.375,16161,33,1,2
'2018-04-25 19:32:05','2018-04-25 21:47:47',6.523,3991,17,1,2
'2018-04-25 19:33:01','2018-04-25 20:25:58',2.203,20999,5,1,3
'2018-04-25 19:40:02','2018-04-25 22:07:12',7.738,3326,32,1,3
'2018-04-25 19:41:42','2018-04-25 23:12:06',12.94,6663,35,2,2
'2018-04-25 19:43:13','2018-04-26 00:56:17',14.328,12498,5,2,1
'2018-04-25 20:14:50','2018-04-25 23:28:12',4.189,109090,75,1,1
'2018-04-25 20:30:49','2018-04-25 21:05:52',0.829,281,88,1,3
'2018-04-25 21:57:42','2018-04-26 03:07:23',27.743,317,38,2,2
'2018-04-25 22:17:32','2018-04-26 01:13:17',12.692,21057,84,2,3
'2018-04-25 22:42:48','2018-04-25 23:18:46',1.304,318,65,1,2
'2018-04-26 00:02:16','2018-04-26 02:00:58',11.466,146500,39,2,2
'2018-04-26 00:03:03','2018-04-26 03:32:19',11.695,330,43,2,3
'2018-04-26 00:05:36','2018-04-26 00:30:52',2.87,22503,58,2,3
'2018-04-26 00:07:10','2018-04-26 01:16:50',2.264,6664,79,1,3
'2018-04-26 01:21:28','2018-04-26 09:20:00',1.02,20053,90,1,3
'2018-04-26 01:40:29','2018-04-26 02:32:53',5.023,21057,37,1,1
'2018-04-26 01:48:55','2018-04-26 03:18:33',8.693,91342,73,1,2
'2018-04-26 01:49:57','2018-04-26 02:41:30',4.915,3324,1,2,2
'2018-04-26 02:17:10','2018-04-26 04:29:34',13.892,20558,20,1,1
'2018-04-26 02:25:14','2018-04-26 02:36:19',1.155,20600,63,2,1
'2018-04-26 02:36:02','2018-04-26 04:34:34',11.891,20597,90,1,3
'2018-04-26 02:49:57','2018-04-26 04:00:57',6.956,26375,31,1,2
'2018-04-26 03:07:04','2018-04-26 03:29:55',2.568,20623,57,1,2
'2018-04-26 03:13:44','2018-04-26 05:32:35',6.503,73441,87,2,1
'2018-04-26 03:33:58','2018-04-26 04:46:04',2.272,21011,70,2,1
'2018-04-26 06:20:56','2018-04-26 14:08:56',13.926,6663,45,1,1
'2018-04-26 11:31:17','2018-04-26 12:51:30',4.632,20382,55,2,3
'2018-04-26 13:25:08','2018-04-26 16:53:27',12.138,20514,62,1,3
'2018-04-26 13:54:17','2018-04-26 23:07:12',7.108,20678,86,1,2
'2018-04-26 14:47:08','2018-04-27 00:14:02',13.155,20577,40,2,1
'2018-04-26 14:59:44','2018-04-26 16:09:28',7.186,21114,25,2,1
'2018-04-26 15:05:16','2018-04-26 16:06:18',2.354,109090,22,2,2
'2018-04-26 15:05:56','2018-04-26 17:09:59',13.413,21057,23,1,2
'2018-04-26 15:27:50','2018-04-26 16:32:25',6.14,6663,29,2,3
'2018-04-26 15:28:15','2018-04-26 19:00:07',6.087,331,28,2,1
'2018-04-26 15:45:26','2018-04-26 17:48:13',6.298,20407,5,2,2
'2018-04-26 15:46:05','2018-04-26 16:55:21',4.182,253379,74,1,3
'2018-04-26 15:46:33','2018-04-26 17:17:18',4.846,20412,91,1,3
'2018-04-26 15:47:39','2018-04-26 16:40:35',2.65,3968,79,2,2
'2018-04-26 15:55:18','2018-04-26 17:05:02',2.997,253379,59,1,1
'2018-04-26 15:56:04','2018-04-26 16:55:02',2.68,20623,91,2,2
'2018-04-26 15:57:16','2018-04-26 17:59:37',3.54,287,80,2,1
'2018-04-26 15:59:53','2018-04-26 16:44:39',1.916,20558,1,1,1
'2018-04-26 16:01:29','2018-04-26 17:33:17',2.757,6664,64,1,2
'2018-04-26 16:01:58','2018-04-26 19:20:10',10.248,292,58,2,1
'2018-04-26 16:07:42','2018-04-27 00:28:37',14.0,15627,88,1,2
'2018-04-26 16:09:35','2018-04-26 23:49:35',14.01,20650,65,1,3
'2018-04-26 16:20:52','2018-04-26 18:24:24',6.709,133929,49,1,2
'2018-04-26 16:21:31','2018-04-27 03:18:29',25.981,322,79,1,1
'2018-04-26 16:38:47','2018-04-26 18:37:00',4.263,331,4,1,3
'2018-04-26 16:41:12','2018-04-26 19:26:14',5.723,20577,6,1,1
'2018-04-26 16:53:04','2018-04-26 18:25:40',4.384,21014,38,2,1
'2018-04-26 16:58:21','2018-04-27 00:22:10',9.914,21014,42,1,1
'2018-04-26 17:08:18','2018-04-27 00:56:59',10.411,6668,38,2,3
'2018-04-26 17:11:27','2018-04-26 20:40:26',9.026,133929,37,2,3
'2018-04-26 17:15:26','2018-04-26 21:23:13',14.422,331,91,2,2
'2018-04-26 17:26:50','2018-04-26 20:43:34',18.861,3415,65,1,2
'2018-04-26 17:39:42','2018-04-26 19:07:32',5.728,3324,46,1,2
'2018-04-26 18:43:12','2018-04-26 19:51:48',2.528,259,85,2,3
'2018-04-26 19:38:28','2018-04-27 00:01:06',2.628,21011,90,2,3
'2018-04-26 20:17:40','2018-04-26 20:52:09',1.306,20101,43,2,1
'2018-04-26 20:27:49','2018-04-26 21:05:07',1.801,20678,73,2,1
'2018-04-26 21:02:30','2018-04-26 22:51:42',5.576,20053,7,1,2
'2018-04-26 21:18:45','2018-04-27 01:09:24',16.0,20673,69,1,2
'2018-04-26 23:04:49','2018-04-26 23:32:07',0.852,329,7,1,2
'2018-04-27 01:17:43','2018-04-27 01:51:00',1.829,317,60,2,3
'2018-04-27 01:22:57','2018-04-27 17:43:11',13.927,330,59,1,1
'2018-04-27 01:40:52','2018-04-27 03:53:16',13.872,20678,8,2,2
'2018-04-27 01:50:34','2018-04-27 02:47:02',5.654,6669,64,1,2
'2018-04-27 02:04:43','2018-04-27 03:24:02',2.558,6951,21,2,2
'2018-04-27 03:10:05','2018-04-27 05:09:39',6.417,20321,47,2,2
'2018-04-27 03:29:59','2018-04-27 04:19:06',5.56,281,81,1,1
'2018-04-27 05:06:13','2018-04-27 05:25:43',0.546,73441,57,1,2
'2018-04-27 13:16:28','2018-04-28 01:10:09',11.323,133928,3,2,2
'2018-04-27 14:14:39','2018-04-27 15:24:19',3.981,108814,11,2,1
'2018-04-27 14:41:42','2018-04-27 18:35:58',17.634,176880,6,2,3
'2018-04-27 15:00:26','2018-04-27 23:47:24',7.288,20623,45,2,1
'2018-04-27 15:09:06','2018-04-27 17:07:50',6.236,3327,62,2,2
'2018-04-27 15:09:39','2018-04-27 16:35:56',9.3,21064,64,2,2
'2018-04-27 15:14:35','2018-04-27 16:12:35',2.945,180674,56,2,2
'2018-04-27 15:15:12','2018-04-27 17:11:23',4.85,20407,22,1,2
'2018-04-27 15:16:03','2018-04-27 20:11:20',10.978,322,19,1,2
'2018-04-27 15:19:27','2018-04-27 16:28:32',3.846,317,48,2,3
'2018-04-27 15:27:27','2018-04-27 19:45:29',19.124,20573,58,2,3
'2018-04-27 15:31:38','2018-04-27 16:39:35',3.259,20303,27,1,2
'2018-04-27 15:42:36','2018-04-27 20:35:54',13.972,20407,14,2,3
'2018-04-27 16:19:01','2018-04-27 21:26:10',16.95,20573,28,1,1
'2018-04-27 16:25:09','2018-04-27 19:19:55',6.444,21046,75,1,2
'2018-04-27 16:27:57','2018-04-27 18:26:41',9.064,6666,68,2,2
'2018-04-27 16:28:35','2018-04-27 19:26:02',9.67,20597,81,1,3
'2018-04-27 16:37:18','2018-04-27 21:56:14',30.553,20531,24,1,1
